1,100,250
2,470,210
5,550,180
8,600,170
8,650,170
8,700,170
9,890,240
3,850,290
6,870,290
10,1400,200
2,1250,250
1,1750,300
5,1800,250
4,2100,310
8,2150,270
8,2200,270
2,2250,270
9,2700,200
2,2500,250
8,2550,210
8,2600,210
8,2650,210
8,2700,210
5,2600,210
3,2900,290
8,2950,240
8,3000,240
1,3200,210
5,3230,170
2,3750,310
6,3780,310
4,4100,270
1,4500,250
6,4700,250
2,5000,290
6,5050,290
1,5555,310
9,5590,260
1,6000,240
10,6100,190
4,6350,250
8,6400,200
8,6500,200
2,6600,310
12,6710,270
5,6670,280
1,6990,270
5,7100,240
3,7300,230
1,7700,300
6,7750,300
1,8100,270
2,8659,210
6,8680,210
2,9000,300
5,9200,250
1,9300,250
6,9400,250
7,9500,200
1,9600,250
2,10000,270
